school_year,district,school,director,piece_slot,raw_string,parsed_title,parsed_composer,parsed_arranger,pdf_grade,confidence
2017-2018,7,Hillsborough Senior High School Symphonic Band,Michael Lebrias,1,Courage Bennett/ Clark,Courage Bennett,,Clark,,LOW
2017-2018,7,Hillsborough Academy Of Math And Science Wind Ensemble MC,Ms. Brianna Emge,1,Loyalty Larry Clark,Loyalty Larry Clark,,,,LOW
2017-2018,7,Dr. Carter G. Woodson K-8 School Symphonic Band MC,Gabriel Travieso,1,Premiere March Joseph Compello,Premiere March Joseph Compello,,,,LOW
2017-2018,7,Garland V. Stewart Middle School Advanced Band MC,Clifford Rivera,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2017-2018,8,Lake Nona High School Wind Ensemble,Monica Leimer,1,White Rose Sousa arr. Brion,White Rose Sousa,,Brion,,LOW
2017-2018,8,Winter Park High School Wind Symphony,Christopher Blackmer,1,"The Circus Bee Fillmore, Henry","The Circus Bee Fillmore, Henry",,,,LOW
2017-2018,8,Freedom High School (Orange) Wind Ensemble,Michael Antmann and Charlene Cannon,1,"The Free Lance Sousa, arr. Brion & Schissel",The Free Lance Sousa,,Brion & Schissel,,LOW
2017-2018,8,Liberty Middle School (Orange) Wind Ensemble MC,Jacquelyn Tabone,1,Fighting Falcon Todd Stalter,Fighting Falcon Todd Stalter,,,,LOW
2017-2018,9,Azalea Middle School Azalea Middle School Concert Band MC,Damian Lyles,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2017-2018,10,Odyssey Charter School Wind Ensemble,Marli Varnadoe,1,Collegiate Martyn,Collegiate Martyn,,,,LOW
2017-2018,10,Viera High School Symphonic Band,Nick Eggen & Maria Dix,1,Success Bennett/arr. Clark,Success Bennett,,Clark,,LOW
2017-2018,10,Melbourne High School Wind Ensemble,Joshua Sall,1,Home Town Boy Karl King/ James Swearingen,Home Town Boy Karl King,,James Swearingen,,LOW
2017-2018,10,Bayside High School Symphonic Band,Jessica Davoli,1,Dorchester Osterling,Dorchester Osterling,,,,LOW
2017-2018,10,Titusville High School Wind Orchestra,Ian Schwindt and Jennifer Zahn,1,Gallant Seventh Sousa,Gallant Seventh Sousa,,,,LOW
2017-2018,11,Carlos E. Haile Middle School Wind Ensemble MB,Carlos Galletti,1,Courage Harold Bennett/Clark,Courage Harold Bennett,,Clark,,LOW
2017-2018,12,Sleepy Hill Middle School Symphonic Band MC,Joshua Nelson,1,Recognition Larry Clark,Recognition Larry Clark,,,,LOW
2017-2018,12,Lake Gibson Middle School Symphonic Band MB,Lori Baranowski,1,Courage Bennett/Clark,Courage Bennett,,Clark,,LOW
2017-2018,13,South Fork High School Symphonic Band,Charles A. Lukkari,1,Coast Guards Karl King,Coast Guards Karl King,,,,LOW
2017-2018,14,Suncoast Community High School Symphonic Band,Ernest G. Brown,1,The Black Horse Troop Sousa/Fennell,The Black Horse Troop Sousa,,Fennell,,LOW
2017-2018,14,Seminole Ridge Community High School Wind Ensemble,Daniel Harvey,1,The High School Cadets Sousa,The High School Cadets Sousa,,,,LOW
2017-2018,14,Royal Palm Beach High School Symphonic Band,Mr. Benjamin Eubank,1,Barnum and Bailey's Favorites March K.L. king,Barnum and Bailey's Favorites March K.L. king,,,,LOW
2017-2018,15,Piper High School Symphonic Band,Kervens Jackson,1,Manila Bay Karl King,Manila Bay Karl King,,,,LOW
2017-2018,15,Pembroke Pines Charter High School Concert Band,Matt Daugherty,1,Rivanna River Steve Hodges,Rivanna River Steve Hodges,,,,LOW
2017-2018,15,Coral Springs Charter School Intermediate Band MD,Marisa Fernandez,1,Success Harold Bennett/Clark,Success Harold Bennett,,Clark,,LOW
2017-2018,15,Seminole Middle School Concert Band MC,Anthony Church,1,Minstrel Boy March Eric Osterling,Minstrel Boy March Eric Osterling,,,,LOW
2017-2018,15,St. Mark's Episcopal School (Broward) Symphonic Band MC,Jessey Andris,1,Gold Medallion John Edmondson,Gold Medallion John Edmondson,,,,LOW
2017-2018,16,Coral Reef Senior High School Symphonic Band,Kennan Torgerson,1,The Foot-Lifter Henry Filmore,The Foot-Lifter Henry Filmore,,,,LOW
2017-2018,16,Coral Reef Senior High School Wind Ensemble,Kennan Torgerson,1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2017-2018,16,Dr. Michael M. Krop Senior High School Symphonic Band,Sarah Wallace,1,Coast Guards King/ Swearingen,Coast Guards King,,Swearingen,,LOW
2017-2018,16,John A. Ferguson High School Wind Ensemble,Lowell Thomas,1,Washington Post Sousa,Washington Post Sousa,,,,LOW
2017-2018,16,Miami Coral Park Senior High School Wind Ensemble,Mr. Aramis Gonzalez,1,The Black Horse Troop John Philip Sousa,The Black Horse Troop John Philip Sousa,,,,LOW
2017-2018,16,North Dade Middle School Concert Band MC,Hank Hankerson,1,The Golden Eagle John Edmondson,The Golden Eagle John Edmondson,,,,LOW
2017-2018,16,Mater Lakes Academy Symphonic Band MC,"Sterling B. Jones, Asst: Hector Barrera",1,Castles & Kings Bruce Pearson,Castles & Kings Bruce Pearson,,,,LOW
2017-2018,16,Ruben Dario Middle School Symphonic Band MC,Elissa Vento-Tatom,1,Summit Harold Bennet/Larry Clark,Summit Harold Bennet,,Larry Clark,,LOW
2017-2018,17,Douglas Anderson School of the Arts Symphonic Band,Ted Shistle,1,Belle of Chicago March Sousa/Byrne,Belle of Chicago March Sousa,,Byrne,,LOW
2017-2018,18,Gulf Coast High School Symphonic Band,Justin Goff,1,Loyalty Larry Clark,Loyalty Larry Clark,,,,LOW
2017-2018,18,Clewiston High School Concert Band,Kevin Farmer,1,The Crown of Castille Johnnie Vinson,The Crown of Castille Johnnie Vinson,,,,LOW
2017-2018,18,Oak Hammock Middle School Advanced Band MC,Candace Cohowcz,1,"We, The People James Swearigen",The We People James Swearigen,,,,LOW
2017-2018,19,Tavares High School Symphonic Band,Cole Bushman,1,The Crown of Castille Johnnie Vinson,The Crown of Castille Johnnie Vinson,,,,LOW
2017-2018,21,Flagler Palm Coast High School Symphonic Band 1,"John Seth, Ryan Schulz, and Susan Morden",1,Washington Post Sousa/Brion/Schissel,Washington Post Sousa/Brion,,Schissel,,LOW
2017-2018,21,Liberty Pines Academy LPA Concert Band MC,Michael Perez,1,Big Circus March Foster,Big Circus March Foster,,,,LOW
2017-2018,30,Douglas Anderson School of the Arts Symphonic Band,Ted Shistle,1,Belle of Chicago March Sousa/Byrne,Belle of Chicago March Sousa,,Byrne,,LOW
2017-2018,30,Douglas Anderson School of the Arts Wind Symphony,Ted Shistle,2,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2017-2018,30,Douglas Anderson School of the Arts Wind Symphony,Ted Shistle,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2017-2018,30,Freedom High School (Orange) Wind Ensemble,Michael Antmann and Charlene Cannon,1,"The Free Lance Sousa, arr. Brion & Schissel",The Free Lance Sousa,,Brion & Schissel,,LOW
2017-2018,30,Titusville High School Wind Orchestra,Ian Schwindt and Jennifer Zahn,1,Gallant Seventh Sousa,Gallant Seventh Sousa,,,,LOW
2017-2018,30,Flagler Palm Coast High School Symphonic Band 1,"John Seth, Ryan Schulz, and Susan Morden",1,Washington Post Sousa/Brion/Schissel,Washington Post Sousa/Brion,,Schissel,,LOW
2017-2018,30,Gainesville High School Concert Band,Bill Pirzer,1,Coast Guards Karl L. King/James Swearingen,Coast Guards Karl L. King,,James Swearingen,,LOW
2017-2018,30,Lake Nona High School Wind Ensemble,Monica Leimer,1,White Rose Sousa arr. Brion,White Rose Sousa,,Brion,,LOW
2017-2018,30,Freeport Senior High School Concert Band,Michael Miller,1,Genius Bennett,Genius Bennett,,,,LOW
2017-2018,30,Coral Reef Senior High School Symphonic Band,Kennan Torgerson,1,The Foot-Lifter Henry Filmore,The Foot-Lifter Henry Filmore,,,,LOW
2017-2018,30,Miami Coral Park Senior High School Wind Ensemble,Mr. Aramis Gonzalez,1,The Black Horse Troop John Philip Sousa,The Black Horse Troop John Philip Sousa,,,,LOW
2017-2018,30,Cooper City High School Symphonic Band,Danielle Singer,1,The Marching Winds Philip Sparke,The Marching Winds Philip Sparke,,,,LOW
2017-2018,30,Suncoast Community High School Symphonic Band,Ernest G. Brown,1,The Black Horse Troop Sousa/Fennell,The Black Horse Troop Sousa,,Fennell,,LOW
2018-2019,1,Ransom Middle School Concert Band MD,Lee Rigdon,1,Winchester John Edmondson,Winchester John Edmondson,,,,LOW
2018-2019,2,Vernon High School Concert Band,John E Harcus,1,Big Circus March Robert Foster,Big Circus March Robert Foster,,,,LOW
2018-2019,2,Bay High School Symphonic Band,Nicholas C Efstathiou,1,Algeria K.L. King,Algeria K.L. King,,,,LOW
2018-2019,4,Bell School Jr/Sr High School Symphonic Band,Christopher Dunn,1,The Flying Cadets March King,The Flying Cadets March King,,,,LOW
2018-2019,4,F. W. Buchholz High School Wind Symphony,Shawn L. Barat,1,Lambs March Sousa/arr. Schissel,Lambs March Sousa,,Schissel,,LOW
2018-2019,4,Santa Fe High School Symphonic Band,Michael Cowan,1,Coast Guards Karl King/James Swearingen,Coast Guards Karl King,,James Swearingen,,LOW
2018-2019,4,C.H. Price Middle School Symphonic Band MC,Julia Horton,1,Success Bennett/Clark,Success Bennett,,Clark,,LOW
2018-2019,5,J. W. Mitchell High School Symphonic Winds,Ryan Harring & Joel Quina,1,Sounds of Spring Shizuka Sato & Naoya Wada,Sounds of Spring Shizuka Sato & Naoya Wada,,,,LOW
2018-2019,5,Frank W. Springstead High School Wind Ensemble,Richard Dasher,1,Free World Karl L. King,Free World Karl L. King,,,,LOW
2018-2019,5,Challenger K-8 School of Math & Science 6th Grade Concert Band MD,Michelle McCarthy,1,Infinity Curnow,Infinity Curnow,,,,LOW
2018-2019,6,Atlantic High School Symphonic Band,"Jeremy Blackwell , Michelle Robbins (Intern)",1,True Blue Karl King/ James Swearingen,True Blue Karl King,,James Swearingen,,LOW
2018-2019,6,Lake Howell High School Symphonic Band,Jose Eslava,1,Crown of Castile Johnnie Vinson,Crown of Castile Johnnie Vinson,,,,LOW
2018-2019,6,Seminole High School Wind Ensemble,P.L. Malcolm & Cheyne LaBonte,1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2018-2019,6,Milwee Middle School Concert Band MD,Joshua Autrey,1,Dark Crusader March Donald Josuweit,Dark Crusader March Donald Josuweit,,,,LOW
2018-2019,7,H. B. Plant High School Campus Band,Brian P. Dell,1,The Golden Eagle Edmondson,The Golden Eagle Edmondson,,,,LOW
2018-2019,7,Robinson Senior High School Wind Ensemble,Chris Revett,1,Stormchasers Robert Sheldon,Stormchasers Robert Sheldon,,,,LOW
2018-2019,7,Jennings Middle School Concert Band MC,David Cluff,1,Pride of the Cadets Joseph Compello,Pride of the Cadets Joseph Compello,,,,LOW
2018-2019,8,Winter Park High School Concert Band,Christopher Blackmer,1,The Fairest of the Fair John Philip Sousa/arr. Andrew Balent,The Fairest of the Fair John Philip Sousa,,Andrew Balent,,LOW
2018-2019,8,Innovation Middle School Symphonic Band MB,Jose Fernandez,1,Freedoms March James Swearing,Freedoms March James Swearing,,,,LOW
2018-2019,8,Southwest Middle School (Orange) Symphonic Band MD,Kristen De Guzman; Amy Bernloehr,1,Admiration Larry Clark,Admiration Larry Clark,,,,LOW
2018-2019,8,Bridgewater Middle School Wind Ensemble MB,"Bryan O'steen, Kathrine Rudkik",1,The Crown of Castille Vinson,The Crown of Castille Vinson,,,,LOW
2018-2019,9,East Lake High School Concert Band,Ian Black,1,Normal Bennett,Normal Bennett,,,,LOW
2018-2019,9,Joseph L. Carwise Middle School Wind Ensemble MB,Kaitlyn Klingberg,1,Streets of Madrid Moss,Streets of Madrid Moss,,,,LOW
2018-2019,10,Gateway High School Concert Band,Nathan Humphries,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
2018-2019,10,St. Cloud High School Wind Ensemble,Mindy Curtis,1,True Blue King/Swearingen,True Blue King,,Swearingen,,LOW
2018-2019,10,Satellite High School Concert Band,Christopher Simons and Patrick Phillips,1,General Grant King,General Grant King,,,,LOW
2018-2019,10,Cocoa Jr./Sr. High School Wind Ensemble,Harley Hottel,1,Courage Bennett/Clark,Courage Bennett,,Clark,,LOW
2018-2019,10,Astronaut High School Symphonic Band,Justin Davis,1,Courage Bennett/Clark,Courage Bennett,,Clark,,LOW
2018-2019,10,Lyndon B. Johnson Middle School Symphonic Band MB,Alex Widener,1,Crown of Castile Johnnie Vinson,Crown of Castile Johnnie Vinson,,,,LOW
2018-2019,11,Lakewood Ranch Senior High School Symphonic Band,Kristin Greene,1,The Activity March Bennett,The Activity March Bennett,,,,LOW
2018-2019,11,Riverview High School (Sarasota) Varsity Bands,Andrew Dubbert,1,A March on Kings Highway Pierre La Plante,A March on Kings Highway Pierre La Plante,,,,LOW
2018-2019,11,Manatee High School Concert Band,Kendall Carrier and Jasper Miller,1,Crown of Castile Vinson,Crown of Castile Vinson,,,,LOW
2018-2019,11,Charlotte High School Concert,Paul Montanari,1,Courage Clark,Courage Clark,,,,LOW
2018-2019,11,Louise R Johnson K-8 School Of International Studies Wind Ensemble MC,JR Boatwright,1,Big Circus March Robert Foster,Big Circus March Robert Foster,,,,LOW
2018-2019,12,Lake Gibson Senior High School Concert Band,Sean Luce,1,Aline Bennett/ Clark,Aline Bennett,,Clark,,LOW
2018-2019,13,Vero Beach High School Philharmonic Band,"Brandon Putzke and Colbert P. Howell, Jr.",1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2018-2019,13,Martin County High School Concert Band,James T. Patrick,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
2018-2019,13,Fort Pierce Westwood Academy The W.E.S.T. Prep Magnet Westwood Winds,Jean Auguste,1,Newcastle Johnnie Vinson,Newcastle Johnnie Vinson,,,,LOW
2018-2019,13,FAU/SLCSD Palm Pointe Educational Research School @ Tradition Palm Poin MC,Jason Hatfield,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2018-2019,14,Saint Andrew's School Concert Band MD,Tom Stancampiano,1,Honor Roll Mark Williams,Honor Roll Mark Williams,,,,LOW
2018-2019,14,Park Vista High School Wind Ensemble,"Patrick Duncan, Dustin Ferguson",1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2018-2019,14,Pine Crest School at Boca Raton Middle School Band MC,Dr. Dannel Espinoza,1,Washington Post Sousa/Holcombe,Washington Post Sousa,,Holcombe,,LOW
2018-2019,15,Coral Springs High School Symphonic Band,Brett M. Dawson,1,Success Harold Bennett,Success Harold Bennett,,,,LOW
2018-2019,15,St. Thomas Aquinas High School Concert Band,Richard Bradford,1,"Improvement Bennett, arr. Clark",Improvement Bennett,,Clark,,LOW
2018-2019,15,Boyd H. Anderson High School Concert Band,Sidney Oser,1,Success Bennett,Success Bennett,,,,LOW
2018-2019,15,Blanche Ely High School Wind Symphony,Wisler Elias,1,The Circus Bee Filmore / Foster,The Circus Bee Filmore,,Foster,,LOW
2018-2019,15,Cooper City High School Wind Ensemble,Danielle Singer,1,Free Lance March Sousa/arr. Brion/Schissel,Free Lance March Sousa,,Brion/Schissel,,LOW
2018-2019,15,Sawgrass Springs Middle School Honor Band MB,Ian W Miller,1,Capitol March Stalter,Capitol March Stalter,,,,LOW
2018-2019,16,New World School of the Arts Wind Ensemble,Brent A. Mounger,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2018-2019,17,Baldwin Middle-Senior High School Concert Band,Scott Shores,1,Washington Post Sousa,Washington Post Sousa,,,,LOW
2018-2019,17,Sandalwood High School Symphonic Band,Stephen Panoff,1,Courage Larry Clark,Courage Larry Clark,,,,LOW
2018-2019,17,LaVilla School of the Arts Wind Ensemble MB,"Dr. Ann Adams, Mr. Thomas Flynn",1,Free Lance March Sousa/Brion,Free Lance March Sousa,,Brion,,LOW
2018-2019,17,Providence School Providence School Symphonic Band MC,JONATHAN G MAERKL,1,The March of the Minutemen Edmondson,The March of the Minutemen Edmondson,,,,LOW
2018-2019,19,Blessed Trinity School Symphonic Band MC,Kirsten Kenny,1,Fighting Falcon Todd Stalter,Fighting Falcon Todd Stalter,,,,LOW
2018-2019,19,Belleview High School Symphonic Band,Ariel Reddick,1,Orange Bowl Fillmore/Foster,Orange Bowl Fillmore,,Foster,,LOW
2018-2019,19,Vanguard High School Symphonic Band,Shane Bass,1,Coast Guards King/Searingen,Coast Guards King,,Searingen,,LOW
2018-2019,19,Bradford Middle School Concert Band MC,Michael Loffredo,1,Coast Guards King/Swearingen,Coast Guards King,,Swearingen,,LOW
2018-2019,19,Tavares Middle School Advanced Band MB,Benjamin Hart,1,Swashbucklers March Mark Williams,Swashbucklers March Mark Williams,,,,LOW
2018-2019,20,Riviera Preparatory School Advanced Orchestra,Andrew Loose,1,Courage Harold Bennett Arr. Larry Clark,Courage Harold Bennett,,Larry Clark,,LOW
2018-2019,20,Palmer Trinity School Wind Ensemble,Anthony McFarlane,1,The Billboard John Klohr,The Billboard John Klohr,,,,LOW
2018-2019,21,St. Augustine High School Symphonic Winds,Wes Peters- Director and Kevin Fulford- Intern,1,The High School Cadets March John Philip Sousa/ Balent,The High School Cadets March John Philip Sousa,,Balent,,LOW
2018-2019,21,Allen D. Nease Senior High School Wind Ensemble,Anthony Cananzi,1,The Fairest of the Fair John Philip Sousa,The Fairest of the Fair John Philip Sousa,,,,LOW
2018-2019,21,Matanzas High School Concert Band,Adam McIntyre,1,New South Wales Edmondson,New South Wales Edmondson,,,,LOW
2018-2019,21,Patriot Oaks Academy Patriot Oaks Middle School Symphonic Band MC,Lance Rauh,1,Advocate March Gene Milford,Advocate March Gene Milford,,,,LOW
2018-2019,30,Vero Beach High School Philharmonic Band,"Brandon Putzke and Colbert P. Howell, Jr.",1,Coast Guards March Karl King,Coast Guards March Karl King,,,,LOW
2018-2019,30,Freedom High School (Orange) Symphonic Winds,Michael Antmann and Charlene Cannon,1,"The Black Horse Troop Sousa, ed. Fennell",The Black Horse Troop Sousa,,Fennell,,LOW
2018-2019,30,Windermere High School Wind Symphony,Robert Darragh,1,Barnum and Baileys Favorite Karl King,Barnum and Baileys Favorite Karl King,,,,LOW
2018-2019,30,New World School of the Arts Wind Ensemble,Brent A. Mounger,2,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2018-2019,30,New World School of the Arts Wind Ensemble,Brent A. Mounger,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2018-2019,30,Blanche Ely High School Wind Symphony,Wisler Elias,1,The Circus Bee Filmore / Foster,The Circus Bee Filmore,,Foster,,LOW
2018-2019,30,Park Vista High School Wind Ensemble,"Patrick Duncan, Dustin Ferguson",1,The Fairest of the Fair Sousa,The Fairest of the Fair Sousa,,,,LOW
2019-2020,1,Jay Jr/Sr High School Varsity Band,Connie Wilkes,1,Dorchester Osterling,Dorchester Osterling,,,,LOW
2019-2020,1,Milton High School Concert Band,Michael Schultz,1,The Boom-Boom Galap Randall D. Standridge,The Boom-Boom Galap Randall D. Standridge,,,,LOW
2019-2020,1,Pensacola High School Symphonic Band,Armand Navarro,1,Coast Guards Karl King arr. Swearingen,Coast Guards Karl King,,Swearingen,,LOW
2019-2020,1,Navarre High School Symphonic Band,Dean Barrow,1,Coast Guards March King/Swearingen,Coast Guards March King,,Swearingen,,LOW
2019-2020,1,Escambia High School Symphonic Band,Douglas Holsworth,1,The Diplomat March Sousa/Brion,The Diplomat March Sousa,,Brion,,LOW
2019-2020,1,Pace High School Wind Ensemble,Anthony Denaro,1,The Circus Band Charles Ives,The Circus Band Charles Ives,,,,LOW
2019-2020,1,Escambia High School Concert Band,Dustin Hicklen,1,Fidelity King/Glover,Fidelity King,,Glover,,LOW
2019-2020,1,Niceville Senior High School Symphonic Winds,Jeff Adams,1,The Corcoran Cadets March John Philip Sousa,The Corcoran Cadets March John Philip Sousa,,,,LOW
2019-2020,1,Niceville Senior High School Wind Ensemble,Dan Wooten,1,Mad Major March Kenneth Alford,Mad Major March Kenneth Alford,,,,LOW
2019-2020,1,Ferry Pass Middle School Concert Band MD,Russell Bertles,1,The Fighting Falcon March Todd Statler,The Fighting Falcon March Todd Statler,,,,LOW
2019-2020,1,Max Bruner Jr. Middle School Concert Band MD,Scott LaBorde,1,Viking Victorious Chris Sharp,Viking Victorious Chris Sharp,,,,LOW
2019-2020,1,R. Hobbs Middle School Symphonic Band MC,Robert Colón,1,Deutsche Art Marsch Teike/Watson,Deutsche Art Marsch Teike,,Watson,,LOW
2019-2020,2,Walton Middle School Concert Band MD,Kamber Rafferty,1,Monumental City March Joseph Compello,Monumental City March Joseph Compello,,,,LOW
2019-2020,2,Vernon High School Concert Band,John Harcus,1,"Capstone March Arcari, Tyler","Capstone March Arcari, Tyler",,,,LOW
2019-2020,2,Marianna High School Concert Band,Daryl Williams,1,613th Regimental March Holsinger,613th Regimental March Holsinger,,,,LOW
2019-2020,2,Breakfast Point Academy Advanced Band MC,Gary Nichols,1,Andalusia Lopez,Andalusia Lopez,,,,LOW
2019-2020,2,Bay Haven Charter Academy Advanced Band MC,William E. Qualls,1,Sky Rangers King,Sky Rangers King,,,,LOW
2019-2020,2,Mowat Middle School Concert Band MC,Mrs. Michelle Birdwell,1,Welcome Bennett/Clark,Welcome Bennett,,Clark,,LOW
2019-2020,2,A. Crawford Mosley High School Symphonic Band,Douglas Dobos,1,Capstone March Tyler Arcari,Capstone March Tyler Arcari,,,,LOW
2019-2020,2,North Bay Haven Charter Academy North Bay Haven Wind Ensemble,Justin Bell,1,Amparito Rico Texidor Arr. Winter,Amparito Rico Texidor,,Winter,,LOW
2019-2020,4,F. W. Buchholz High School Wind Symphony,Shawn L. Barat,1,The Pathfinder of Panama Sousa/Byrne,The Pathfinder of Panama Sousa,,Byrne,,LOW
2019-2020,5,J. W. Mitchell High School Symphonic Winds,Ryan Harring & Joel Quina,1,Liberty Loan Sousa/ Arr. Brion,Liberty Loan Sousa,,Brion,,LOW
2019-2020,5,Zephyrhills High School Symphonic Band,Russell L. Schmidt,1,Coast Guards K.L. King,Coast Guards K.L. King,,,,LOW
2019-2020,5,River Ridge High School Symphonic Winds,Christopher T. Greco,1,El Zorro Rojo Standridge,El Zorro Rojo Standridge,,,,LOW
2019-2020,5,Land O' Lakes High School Wind Ensemble,Johnathon Mulder,1,"El Zorro Rojo Standridge, Randall","El Zorro Rojo Standridge, Randall",,,,LOW
2019-2020,5,J. W. Mitchell High School Wind Ensemble,Mr. Joel Quina & Mr. Ryan Harring,1,Sol Y Sambra George Gates,Sol Y Sambra George Gates,,,,LOW
2019-2020,5,Pasco Middle School Symphonic Band MD,Mike Schmidt,1,Challenger Concert March Anne McGinty,Challenger Concert March Anne McGinty,,,,LOW
2019-2020,5,Lecanto Middle School Concert Band MC,Kelsey Crawford,1,Sousa Favorites Andrew Balent,Sousa Favorites Andrew Balent,,,,LOW
2019-2020,5,Centennial Middle School (Pasco) Centennial Middle School Band MC,Carl Copeland,1,Genius Harold Bennett/Larry Clark,Genius Harold Bennett,,Larry Clark,,LOW
2019-2020,5,Challenger K-8 School of Math & Science Navigator Band MC,Michelle McCarthy,1,Hiland Bennett/Clark,Hiland Bennett,,Clark,,LOW
2019-2020,6,Mainland High School The Buccaneer Symphonic Band,Mr. Gregory Dukes,1,Alazea City March R. Alan Carter,Alazea City March R. Alan Carter,,,,LOW
2019-2020,6,Seabreeze Senior High School Symphonic Band,John Rivers,1,Purple Carnival March Harry Alford,Purple Carnival March Harry Alford,,,,LOW
2019-2020,6,Markham Woods Middle School Concert Band MD,Brandon Slone,1,Castle and Kings March Bruce Pearson,Castle and Kings March Bruce Pearson,,,,LOW
2019-2020,6,Lake Butler Middle School Symphonic Band MC,Kaleb Switanek,1,Cirque de L'etrange Matthew R. Putnam,Cirque de L'etrange Matthew R. Putnam,,,,LOW
2019-2020,6,Campbell Middle School Concert Band MC,Bree'Shawn Watson,1,TBD TBD,TBD TBD,,,,LOW
2019-2020,7,H. B. Plant High School Campus Band,Brian P. Dell,1,Black and Gold March Dr. Jeffrey Traster,Black and Gold March Dr. Jeffrey Traster,,,,LOW
2019-2020,7,Armwood High School Symphonic Band,BRADLEY J ESAU,1,Capstone March Arcari,Capstone March Arcari,,,,LOW
2019-2020,7,Robinson Senior High School Concert Band,Chris Revett,1,El Zorro Rojo Randall D. Standridge,El Zorro Rojo Randall D. Standridge,,,,LOW
2019-2020,7,Gaither High School Wind Ensemble,Luis Alvarez,3,"Child’s Garden of Dreams, A Maslanka",A Child’s Garden of Dreams Maslanka,,,6,LOW
2019-2020,7,Brandon High School Wind Ensemble,Revae Ross,1,Algeria King,Algeria King,,,,LOW
2019-2020,7,Ferrell Middle Magnet School Symphonic Band MC,Erica Page,1,Intuition March Larry Clark,Intuition March Larry Clark,,,,LOW
2019-2020,7,Ben Hill Middle School Hill Wind Ensemble MC,Sammy Alvarez,1,Big Circus March Foster,Big Circus March Foster,,,,LOW
2019-2020,7,Roland Park School of Choice (K-8) Advanced Band MC,Nicholas Seier,1,The Thunderbird March John Kinyon,The Thunderbird March John Kinyon,,,,LOW
2019-2020,7,Madison Middle School (Hillsborough) Madison Middle School MC,Bryan Alspach,1,Courage Jones,Courage Jones,,,,LOW
2019-2020,7,Adams Middle School Wind Ensemble MC,Toni Panagiotouros,1,Pride of the Cadets Joseph Compello,Pride of the Cadets Joseph Compello,,,,LOW
2019-2020,8,Lake Highland Preparatory School Symphonic Band,Andrew Bajorek,1,Men in Gray Brahmstedt,Men in Gray Brahmstedt,,,,LOW
2019-2020,8,University High School Symphonic Band,Jeff Willis,1,Crosley March Henry FIllmore,Crosley March Henry FIllmore,,,,LOW
2019-2020,8,Ocoee High School Symphonic Band,"Jennifer Brown-Rolle & Bernie Hendricks, Jr.",1,Land Rover March Gregory Kerkorian,Land Rover March Gregory Kerkorian,,,,LOW
2019-2020,8,Freedom High School (Orange) Symphonic Winds,"Michael Antmann, Charlene Cannon",1,The Pathfinder of Panama Sousa,The Pathfinder of Panama Sousa,,,,LOW
2019-2020,8,Wekiva High School Concert Band,Joshua Grossnicklaus,1,Crown of Castile Johnnie Vinson,Crown of Castile Johnnie Vinson,,,,LOW
2019-2020,8,Timber Creek High School Symphonic Band,"Devin Hoey, Rhett Cox, Katie Hoey, Jonathan Tirado",1,Sempre Fidelis .,Sempre Fidelis .,,,,LOW
2019-2020,8,Dr. Phillips High School Wind Symphony,"Charles Watford, James T. Patrick, and Nicole Nasrallah",1,The Thin Red Line Alford,The Thin Red Line Alford,,,,LOW
2019-2020,8,Ocoee High School Wind Ensemble,Bernie Hendricks Jr. & Jennifer Brown-Rolle,1,The New York Hippodrome Sousa,The New York Hippodrome Sousa,,,,LOW
2019-2020,8,Edgewater High School Wind Ensemble,Antonio R. Figueroa Jr,1,Wings for Peace Karl King,Wings for Peace Karl King,,,,LOW
2019-2020,8,Memorial Middle School (Orange) Concert Band MC,Brittany Dobbs,1,Infinity James Curnow,Infinity James Curnow,,,,LOW
2019-2020,9,Northeast High School (Pinellas) The Viking Band,Mr. Mike Fox,1,Gleneagle Bob Cotter,Gleneagle Bob Cotter,,,,LOW
2019-2020,9,Thurgood Marshall Middle School Wind Ensemble MC,Spencer Katz,1,Capitol March arr. Stalter,Capitol March,,Stalter,,LOW
2019-2020,9,Westlake Christian School Concert Band MC,Ben Pyatt and Mark Deen,1,Courage Harold Bennett/Larry Clark,Courage Harold Bennett,,Larry Clark,,LOW
2019-2020,9,Palm Harbor Middle School Symphonic Winds MB,Tony Krawczynski,1,The Royal Grenadiers March Jerry Nowak,The Royal Grenadiers March Jerry Nowak,,,,LOW
