"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
Incidental Suite,"Smith, Claude T.", ,5,Wingert-Jones,6,
"Incredible Flutist, The","Piston, Walter","Erickson, Frank",5,Associated,2,OOP
"Inferno, The","Smith, Robert W.",,5,Belwin,2,
Infinite Hope,"Balmages, Brian",,4,FJH,1,
Infinite Horizons,"Cheetham, John", ,5,RBC,3,
Inner Sanctum,"Perrine, Aaron",,3,Wingert Jones/Manhattan Beach,1,
Innisfree,"Strommen, Carl",,3,Carl Fischer,3,
Insignia,"O'Loughlin, Sean",,3,Carl Fischer,1,
Instinctive Travels,"Markowski, Michael", ,5,Manhattan Beach ,3,
Insurrection,"Coles, Jay",,2,Barnhouse,1,
Intensity,"O'Loughlin, Sean",,2,Carl Fischer,1,
Interlude for Band,"Finlayson, Walter",,2,Presser,1,
Interludium,Glazounov,"Moehlmann, Roland",3,Hal Leonard ,1,OOP
Intermezzo,"Brahms, Johannes","Margolis, Bob",4,Manhattan Beach,1,
Intermezzo,"Tubb, Monte",,4,Southern,2,
Intermezzo,"Zdechlik, John",,4,Kjos,1,
"Intermezzo (from ""Cavalleria Rusticana"")","Mascagni, Pietro","Falcone, Leonard",4,Kjos,2,
"Intermezzo (from ""Cavalleria Rusticana"")","Mascagni, Pietro","Kreines, Joseph",4,Kreines,1,
"Intermezzo (from ""L'Amico Fritz"")","Mascagni, Pietro","Falcone, Leonard",4,Kjos,1,OOP
"Intermezzo (from ""La Boda de Luis Alonso"")","Gimenez, Jeronimo","McAlister, Graham trans.",4,LudwigMasters,1,
"Intermezzo (from ""Vanessa"")","Barber, Samuel","Beeler, Walter",4,G. Schirmer,2,
Intermezzo for Band,"de Haan, Jacob",,3,De Haske,1,
Intermezzo for Band,Thompson,,5,Bourne,1,
"Intermezzo Sinfonica (from ""Cavalleria Rusticana"")","Mascagni, Pietro","Odom, Lawrence",4,Aux Arcs ,1,
"Intermezzo Sinfonica (from ""Cavalleria Rusticana"")","Mascagni, Pietro","Ragsdale, Van",4,,1,
Internal Combustion,"Gillingham, David",,6,C. Alan,1,
International Folksongs,Schaefer ,,1,Highland/Etling,1,OOP
"Internet Symphony ""Eroica""","Dun, Tan","Martin, Peter ed. ",4,G. Schirmer,1,
Interruption Overture,"Bryant, Steven",,2,Hal Leonard,1,
Into the Air!,"Mahr, Timothy",,6,Kjos,1,
Into the Artic,"Balmages, Brian",,2,FJH,1,
Into the Blue,"Nishimura, Cait",,1,Murphy   ,1,
Into the Clouds!,"Saucedo, Richard",,2,Hal Leonard,1,
Into the Joy of Spring,"Swearingen, James",,4,Barnhouse,1,
Into the Mist,"O'Loughlin, Sean",,2,Carl Fischer,1,
Into the Raging River,"Reineke, Steven",,4,Barnhouse,2,
Into the Silent Land,"Danyew, Steve",,3,Self,1,
Into the Storm,"Smith, Robert W.",,3,Belwin,1,
Into the Sunset,"Conaway, Matt",,4,Barnhouse,1,
Into the Unknown,"Robertson, Karen Kachelmeier",,2,C. Alan,1,
Intrada and Rondo,"Luke, Ray",,3,Ludwig,1,
Intrada Bravura,"Johnson, Timothy",,3,Curnow,1,
Intrada Festiva,"Story, Michael",,3,Belwin,1,
Intrada Jubilante,"Gillingham, David",,4,C. Alan,1,
"Intrada, Adoration and Praise","Smith, Claude T.",,4,Jenson,1,
Introduction and Allegro,"Delone, Peter",,6,Kalmus/Masters,1,
Introduction and Allegro,"White, Donald H.",,4,LudwigMasters,3,
Introduction and Caprice,"Carter, Charles",,3,Barnhouse,2,
Introduction and Fantasia,"Mitchell, Rex",,4,Marks,1,
Introduction and Fugue,"Handel, G.F.","Slocum, Earl",4,Bourne,1,
Introduction and Invention,"Whear, Paul",,4,Ludwig,2,
Introduction and Scherzo,"McGinty, Anne",,1,Kjos/Queenwood,1,
"Introduction to Act 3 from ""Lohengrin""","Wagner, Richard",Frumm,6,Carl Fischer,1,OOP
"Introduction to Act 3 from ""Lohengrin""","Wagner, Richard","Hindsley, Mark",5,Hindsley Transcriptions,2,
"Introduction to Act 3 from ""Lohengrin""","Wagner, Richard","McAlister, Clark/Alfred Reed",6,Masters,1,
"Introduction, Chorale and Jubilee","Lo Presti, Ronald",,4,Shawnee,2,
"Introduction, March and Shepherd's Dance","Menotti, Gian Carlo",,5,G. Schirmer,1,
Introit and Bravura,"Forsblad, Leland",Livingston,3,Hal Leonard,1,
Introit for Band,"Tull, Fisher", ,4,Southern,3,
Inventions from The Sacred Harp,"Curnow, James",,5,Curnow,1,
Invicta,"Swearingen, James",,3,Barnhouse,2,
Invictus,"Balmages, Brian",,5,FJH,2,
Invictus,"Sparke, Philip",,5,Anglo,1,
Invitation to the Waltz,"von Weber, Carl Maria ",Meyerelles-Kent,6,Carl Fischer,1,
Invocation,"Gordon, Philip",,3,Masters,1,
Invocation and Dance,"Strommen, Carl",,3,Carl Fischer,1,
Invocation and Psalm,"Gassi, Vince",,4,Alfred,1,
Invocation and Toccata,"Barnes, James",,6,Southern,3,
Invocation of Alberich,"Wagner, Richard","Cailliet, Lucien",5,Sam Fox,1,OOP
Iolanthe's Farewell,Sullivan,O'Brien,2,Chappell,1,
Irish Air and Dance,"Story, Michael", ,2,Alfred,1,
"Irish Air, An",Anon. or Trad.,"Sheldon, Robert",2,Alfred,4,
"Irish Farewell, An","Daehn, Larry",,3,Daehn,1,
Irish Folk Song Suite,"Erickson, Frank",,3,Bourne,2,
"Irish Interlude, An","Barker, Warren", ,2,Alfred,3,
Irish Jig for Young Feet,"Weller, Travis",,2,FJH,1,
"Irish Legend, An","Kiefer, Ed",,3,Carl Fischer,1,
"Irish Legend, An (based on ""The Minstrel Boy"")","Eidson, Joseph",,2,Wingert-Jones,1,
Irish Legends,"Curnow, James", ,1,Hal Leonard ,1,
"Irish Lullaby, An","Bulla, Stephen", ,2,Curnow,1,
Irish Minstrel Song,"Vertoske, Michael",,2,,1,
"Irish Rhapsody, An","Grundman, Clare",,4,Hal Leonard/Boosey & Hawkes,6,
Irish Suite,"Applebaum, Stanley",,4,European American,3,OOP
Irish Suite,"Gross, Murray",,5,Shawnee,1,POD
"Irish Suite for Band, An","Spinney, Charles",,4,Belwin/Byron-Douglas,3,OOP
"Irish Suite, The","Anderson, Leroy","Wagner, Douglas",4,Belwin,2,
"Irish Suite, The (Mvts. 3&4, Rakes of Mallow & Wearing of the Green)","Anderson, Leroy","Wagner, Douglas",4,Belwin,1,
"Irish Tribute, An","Conley, Lloyd", ,2,Boosey & Hawkes,1,OOP
Irish Trilogy,"Daehn, Larry",,4,Daehn ,1,
"Irish Tune (from ""County Derry"")","Cook, Paul",,1,Alfred/Warner Bros.,1,
"Irish Tune (from ""County Derry"")","Grainger, Percy Aldridge","Kent, H.R.",4,Carl Fischer,1,
"Irish Tune (from ""County Derry"")","Grainger, Percy Aldridge","Kreines, Joseph",4,Kreines,1,
"Irish Tune (from ""County Derry"")","Grainger, Percy Aldridge","Rogers, Mark",4,Southern,5,
"Irish Tune (from ""County Derry"")","Grainger, Percy Aldridge",,4,Carl Fischer,1,
"Irish Tune (from ""County Derry"") and Shepherd's Hey","Grainger, Percy Aldridge","Kent, H.R.",5,Carl Fischer,5,
Ironclad,"O'Loughlin, Sean",,1,Carl Fischer,1,
Iroquois Sunrise,Rudgers, ,1,Grand Mesa ,1,
Islas y Montanas,"Hanson, Howard",,4,Boosey & Hawkes,1,
It perched for Vespers nine,"Puckett, Joel",,5,Puckett,2,
Italian in Algiers Overture,"Rossini, Gioacchino","Cailliet, Lucien/Merlin Patterson",5,Belwin/Sam Fox,6,
Italian Masters Suite,Various,"Gordon, Philip",3,Hal Leonard/Marks,4,
Ivanhoe,"Del Borgo, Elliot",,3,Carl Fischer ,2,
J.S. Dances,"Grantham, Donald", ,6,Piquant,6,
J.S. Jig,"Karrick, Brant", ,4,Alfred,5,
J'ai ete' au bal,"Grantham, Donald", ,6,Piquant,5,
Jacomo,"Erickson, Frank",,3,Alfred/Belwin,1,OOP
Japanese Festival,"Hilliard, Quincy C.", ,1,Carl Fischer,1,
Japanese Folk Trilogy,"McGinty, Anne",,1,Kjos/Queenwood,3,
Japanese Pictures,"Mixon, Kevin",,2,Carl Fischer,2,
Japanese Prints,"Jager, Robert",,4,Hal Leonard/Marks,2,
"Japanese Suite, Op. 23","Holst, Gustav","Boyd, John",5,Ludwig,2,
Japanese Tune,"Konagaya, Soichi",,4,Molenaar,2,
Javaleon,"Johnson, Timothy",,2,Curnow,1,
Javelin,Torke,"Patterson, Merlin",5,Boosey & Hawkes,2,
Jazz Tangents,Ward-Steinman,,5,Fox,1,
"Jeanette, Isabella","Ryden, William", ,2,Manhattan Beach ,4,
Jeanie,"Foster, Stephen","Kinyon, John",2,Alfred,2,
Jedermann Overture,"Whear, Paul",,3,Ludwig,1,
Jefferson County Overture,"O'Reilly, John",,2,Alfred,2,
Jefferson Forest Sketches,"Oare, Michael",,2,Hal Leonard,1,
Jeremiah Clarke Suite ,"Clarke, Jeremiah","Schaefer, William",4,Shawnee,2,POD
Jericho,"Gould, Morton",,6,Belwin,2,
Jessamine Station Overture,"Curnow, James",,2,Shawnee,2,
Jessie's Well,"Hultgren, Ralph", ,3,Brogla,4,
"Jesu, Joy of Man's Desiring","Bach, J.S.","Cailliet, Lucien",4,Henri Elkan ,1,OOP
"Jesu, Joy of Man's Desiring","Bach, J.S.","Hindsley, Mark",4,Hindsley Transcriptions,2,
"Jesu, Joy of Man's Desiring","Bach, J.S.","Leidzen, Erik",4,Carl Fischer,4,
"Jesu, Joy of Man's Desiring","Bach, J.S.","Reed, Alfred",4,Barnhouse,5,
"Jesus, Jesus Rest Your Head","Wallace, Tom",,3,Arranger's Pub.,1,
Jeux d'Enfants,"Bizet, Georges","Brand, Geoffrey",5,Shawnee/G&M Brand,3,
Jidai (Year of Years!),"Reed, Alfred",,5,Kjos,1,
"Jig is Up, The","Kallman, Daniel", ,3,Boosey & Hawkes,4,
Jinx,"George, Ryan",,3,Fornine ,1,
Joan of Arc,"Jager, Robert",,5,Kjos,1,
Jocuri Poporale Romanesti (Romanian Folk Dances),"Bartok, Bela","Goto, Yo",5,Bravo,3,
Jolly Walk in Hibbertland,"Holsinger, David",,2,TRN,1,
Journey,"Curnow, James",,5,Curnow,1,
Journey and Celebration,"Hart, Paul",,6,RWS/William Allen,1,
Journey Down Niagara,"Tucker, Christopher", ,2,Southern,3,
Journey of the Bonfire,"Owens, William",,1,FJH,1,
"Journey of Yan Si Meng, The",Musella, ,4,RBC,1,
Journey Through Orion,"Giroux, Julie",,4,Musica Propria,2,
Journey Through Shadowood,"DeMott, C.","Melillo, S.",2,Stormworks,1,
Journey Through the Void,"Fisher, Tim",,1,Grand Mesa,1,
Journey to the Centre of the Earth,"Graham, Peter",,6,Gramercy ,1,
Journey to the Lion's Castle,"Galante, Rossano",,5,Hal Leonard,1,
"Journey, The","Karrick, Brant",,3,Carl Fischer,1,
Joy,"Ticheli, Frank", ,2,Manhattan Beach ,7,
"Joy (from ""Awakening"")","Curiale, Joseph",,4,Arranger's Pub.,2,
Joy In All Things,"Balmages, Brian",,4,FJH,1,
Joy Revisited,"Ticheli, Frank", ,4,Manhattan Beach ,5,
Joyance,"Pearson, Bruce",,2,Kjos,1,
Joyant Narrative,"McBeth, W. Francis",,3,Southern,1,
Joyau,"Gillingham, David",,5,C. Alan,1,
Joyeuse Marche,"Chabrier, Emmanuel","Brand, Geoffrey",6,Shawnee,1,
"Joyful Journey, A","Sheldon, Robert", ,1,Alfred,1,
"Joyful, Joyful","Beethoven, Ludwig van","Williams, Mark",1,Alfred,1,OOP
Joyous Alleluias,"Spears, Jared",,3,Barnhouse,1,
Joyride,"Johnson, Timothy",,2,Curnow,1,
Joyride,"Markowski, Michael",,4,Self,1,
"Jubilant Overture, A","Reed, Alfred", ,4,Barnhouse,6,
"Jubilant Tribute, A","McGinty, Anne",,4,Barnhouse,1,
Jubilare!,Stevens,,5,BIM,1,
Jubilate,"Jager, Robert",,4,Southern,1,
Jubilateo',"Hazo, Samuel R.",,4,Hal Leonard,1,
Jubilation Overture,"Barnes, James",,4,Southern,1,
Jubilation Overture,Ward,,4,Galaxy,1,
"Jubilation, An Overture",Ward ,Leist,5,Grand Mesa,1,
Jubilations,"Pearson, Bruce",,2,,1,
Jubilee,"Hennagin, Michael",,5,Walton Music,3,
Jubilee Overture,"Sparke, Philip",,5,Hal Leonard,1,
Jubilo,"Carroll, Fergal",,3,,1,
Jubilus,"Van der Roost, Jan",,5,De Haske,1,
Jug Blues and Fat Pickin',"Freund, Don",,6,Southern,3,
Julia Delaney’s Reel,"Strommen, Carl",,3,Carl Fischer,1,
Jungla,"Ferran, Ferrer",,5,Piles ,1,
Jungle Dance,"Balmages, Brian",,2,FJH,1,
"Jupiter (Chorale from ""The Planets"")","Holst, Gustav","Murtha, Paul",1,Hal Leonard,1,
"Jupiter (from ""The Planets"")","Holst, Gustav", ,6,Boosey & Hawkes,3,
"Jupiter (from ""The Planets"")","Holst, Gustav","Branchfield, Aric",1,LudwigMasters,1,
"Jupiter (from ""The Planets"")","Holst, Gustav","Curnow, James",6,Hal Leonard,1,
"Jupiter (from ""The Planets"")","Holst, Gustav",Smith,6,Boosey & Hawkes,2,
"Jupiter (from ""The Planets"")","Holst, Gustav","Williams, Mark",1,Alfred,1,
Jutish Medley,"Grainger, Percy Aldridge","Kreines, Joseph",5,Kreines,1,
K2,"Giroux, Julie",,5,Musica Propria,1,
Kaalin's Flight,Meeboer,,3,Eighth Note ,1,
Kabalevsky Suite,"Kabalevsky, Dmitri","Hull, Grant",3,Wynn,3,
Kachina: Chant and Spirit Dance,"McGinty, Anne",,2,Kjos,2,
Kaddish,"McBeth, W. Francis", ,4,Southern,6,
Kaleidos,"McGinty, Anne",,2,Queenwood,1,
Kaleidoscope for Winds and Percussion,"Brink, Paul R.",,6,BAS,1,
"Kalevala, Op. 95","Creston, Paul",,6,G. Schirmer,2,
Kalos Eidos (Kaleidoscope),"Chambers, Carol Brittin",,3,Excelcia,2,
Kamarinskaja,"Glinka, Mikhail","Conley, Lloyd",3,Grand Mesa ,1,
Kamehameha,"Owens, William",,2,FJH,1,
Katsista (Iroquois Campfire),"Grady, Michael",,2,Kjos,3,
Kawartha Legend,"Court, Douglas",,2,Curnow,1,
Keltic Dances,"McBeth, W. Francis",,3,Southern,1,
Keltic Variations,"Hazo, Samuel R.",,3,,1,
Kemp's Jig,Dishinger,,1,Masters,1,
Kennedale,"Campo, David",,3,MSB,1,
Kensington Overture,"Whear, Paul",,3,Barnhouse,1,
Kentucky,"Fritze, Gregory",,2,Self ,1,
Kentucky 1800,"Grundman, Clare", ,3,Boosey & Hawkes,7,
Kentucky Harmony,"Grantham, Donald", ,5,Piquant,3,
Kenya Contrasts,"Himes, William", ,3,Hal Leonard/Curnow,4,
Khan,"Giroux, Julie", ,5,Musica Propria,3,
Khovantschina Prelude,"Mussorgsky, Modest","Davis, Albert O.",4,Kjos,2,
Kilimanjaro: An African Portrait,"Washburn, Robert", ,4,Belwin,1,
Kindred Spirits,"Balmages, Brian", ,3,FJH,2,
Kinesis,"Sweeney, Michael",,3,Hal Leonard,1,
"King Across the Water, The","Fraser, Bruce",,3,G&M Brand,2,
King Arthur Suite,"Purcell, Henry","Freed, Arnold",3,Boosey & Hawkes,2,
King Mangoberry: Five Allegories for Wind Symphony,"Lorenz, Ricardo",,6,Keiser-Southern,1,
"King of Love My Shepherd Is, The","Reed, Alfred", ,3,Barnhouse,1,
"King of Love My Shepherd Is, The (St. Columbia)",Irish Hymn Tune,"Turner, Jess Langston",3,Carl Fischer,2,
King William's March,"Clark, J.","Balent, Andrew",1,Belwin,1,
"King's Feast, The","Singleton, Kenneth",,2,Grand Mesa,1,
"King's Musicians, The","Lully, Jean-Baptiste","Barr, Robert",3,Ludwig,3,
"King's Musicke, The","Gordon, Philip",,2,Boosey & Hawkes,1,
Kingfishers Catch Fire,"Mackey, John",,5,Osti,3,
Kingsport Overture,"Edmondson, John",,1,Queenwood,1,
Kingstree Overture,"McGinty, Anne", ,1,Kjos/Queenwood,3,
Kingswood Overture,"Ployhar, James",,3,Alfred/Belwin,1,OOP
Kirkland Overture,"Mitchell, Darren",,5,Grand Mesa,1,
Kirkpatrick Fanfare,"Boysen, Jr., Andrew",,4,Wingert-Jones,2,
Kirkpatrick's Muse,"Bocook, Jay",,5,Hal Leonard,1,
Kizuna,"Speck, Frederick",,5,C. Alan,2,
Klezmer Dances,"Bulla, Stephen",,3,Curnow,1,
Knights of Destiny,"Sweeney, Michael",,2,Hal Leonard,1,
Knights of Dunvegan,"Meyer, Richard", ,2,Alfred,2,
Knights of the Round Table,"Rouse, Steve",,1,Manhattan Beach,1,
Kokopelli,"McGinty, Anne",,4,Kjos/Queenwood,1,
Kokopelli’s Dance,"Tanouye, Nathan",,6,NNT Music,2,
Koldoon,"Melillo, Stephen",,5,Stormworks,1,
"Komm’, Süsser Tod","Bach, J.S.","Leidzen, Erik",3,Carl Fischer,3,OOP
"Konzertmusik für Blasorchester, Op. 41","Hindemith, Paul",,6,Scott,2,
Korean Dances for Wind Orchestra,"Koh, Chang Su",,5,Bravo/Brain,3,
Korean Folk Rhapsody,"Curnow, James", ,2,Hal Leonard ,6,
Korean Folk Song Medley,"Ployhar, James",,2,Alfred/Belwin,4,
Korean Folksong from Jeju Island,"Ticheli, Frank",,5,Manhattan Beach,1,
Korean Hill Song,"Williams, Mark", ,1,Alfred,1,
Krakatoa,"Owens, William",,2,FJH,1,
Kronos,"Smith, Robert W.",,3,,1,
Krump,"McAllister, Scott",,5,Lydmusic,3,
Kunihild (Prelude to Act III of the Opera),"Kistler, Cyrill","Barr, Robert",4,LudwigMasters,4,
Kyoto,"Hilliard, Quincy C.",,3,Kjos,1,
"Kyrie and Gloria (from ""A Sacred Service"")","Hill, William H.",,4,Barnhouse,1,
L'Apprenti Sorcier (The Sorcerer's Apprentice),"Dukas, Paul","Tamanini, Marco",6,Baton,1,
L'Arlesienne Suite No. 1 (any 2 mvts.),"Bizet, Georges","Laurendeau, Louis-Philippe",5,Carl Fischer,1,
L'Arlesienne Suite No. 2 (any 2 mvts.),"Bizet, Georges","Duthoit, W.J. ",5,Boosey & Hawkes,1,OOP
L'Arlesienne Suite No. 2 (any 2 mvts.),"Bizet, Georges",Godfrey/MacAlister/Reed,5,Masters,2,
L'Arlesienne Suite No. 2 (part 1 or 2 - at least 2 mvts.),"Bizet, Georges","Lake, Mayhew L. ",5,Carl Fischer,2,OOP
L'Arlesienne Suite No. 2 (part 4),"Bizet, Georges",Iasilli,5,Carl Fischer,1,OOP
"L'Eglise, A","Pierne, Gabriel","Henderson, Kenneth",2,Alfred/Belwin,2,OOP
L'isle joyeuse,"Debussy, Claude","Mashima, Toshio",5,Bravo,3,
La Belle Helene Overture,"Offenbach, Jacques","Odom, Lawrence",5,Kjos,4,
La Bonne Adventure (The Good Adventure),"La Plante, Pierre", ,3,Daehn,4,
La Boutique Fantastique,Rossini-Respighi,"Godfrey, Dan",5,Carl Fischer,1,
La Cambiale di Matrimonio,"Rossini, Gioacchino","Hudson, Frank",4,Southern,1,OOP
La Carnival des Animaux,"Saint Saëns, Camille","Goto, Yo",6,Bravo,1,
La Cenerentola (Selections),"Rossini, Gioacchino","Daehn, Larry",5,Daehn,2,
La Danse du phenix,"Mashima, Toshio",,6,Bravo,2,
La Fiesta Mexicana (any 2 mvts.),"Reed, H. Owen", ,6,Belwin,7,
La Finta Giardiniera Overture (The Feigned Gardeness),"Mozart, W.A.","Barnes, Clifford",3,Ludwig,1,
La Forza Del Destino Overture,"Verdi, Giuseppe","Cesarini, F.",6,Mitropa,2,
La Forza Del Destino Overture,"Verdi, Giuseppe","Kreines, Joseph",6,Kreines,1,
La Forza Del Destino Overture,"Verdi, Giuseppe","Lake, Mayhew L./Kent, H.R.",6,Carl Fischer,5,
La Forza Del Destino Overture,"Verdi, Giuseppe","Rogers, Mark",6,Southern,5,
La Forza Del Destino Overture,"Verdi, Giuseppe","Suzuki, Takayoshi ""Tad"" ",6,TRN,2,
La Gazza Ladra (Overture),"Rossini, Gioacchino","Cailliet, Lucien",6,Kalmus/Fox,3,
La Madre de los Gatos,"Beck, Brian", ,3,Alfred,1,
La Menagerie des Jouets (any 3 mvmts.),"Myers, David",,2,Bourne,1,
La Mesquita de Cordoba  ,"Giroux, Julie",,5,Musica Propria,3,
"La Procession du Rocio, Op. 9","Turina, Joaquin","Reed, Alfred",6,Hal Leonard/F. Colombo,6,
La Quintessenza,"de Meij, Johan",,5,Amstel,1,
La Rejouissance,"Handel, G.F.",Williams,2,Alfred,1,
La Roxelane,"Haydn, F. Joseph","La Plante, Pierre",3,Daehn,1,
La Tregenda,"Puccini, Giacomo","Beck, Brian",4,Alfred,2,
La Vallee Des Cloches,"Ravel, Maurice","Hunsberger, Donald",6,Ludwig,2,
"La Vie Parisienne, Overture to","Offenbach, Jacques","Singleton, Kenneth",3,Grand Mesa,1,
La Volta,"Byrd, William","Fenske, Katheryn",2,Daehn,5,
La’i (Love Song) for Orchestra without Strings,"Sheng, Bright",,6,,1,
Laboring Songs,"Welcher, Dan", ,5,Presser,2,
"Labyrinth, The","Comer, Chandler",,3,LudwigMasters,1,
Lachrymae,"Goto, Yo",,4,Bravo,2,
"Ladies, Lords and Gypsies",Davis,,3,Warner Bros.,1,OOP
Lads of Wamphray March,"Grainger, Percy Aldridge","Clark, Larry",5,Carl Fischer,1,
Lads of Wamphray March,"Grainger, Percy Aldridge","Kreines, Joseph",5,Carl Fischer,1,
Lagan Love,"Zaninelli, Luigi", ,4,Shawnee/Concert Works Unlimited,2,
Lai for Orchestra Without Strings,"Sheng, Bright",,6,Schott,1,
Laideronnette: Imperatrice des Pagodes,"Ravel, Maurice","Beck, Brian",4,Alfred,1,
Lake Dances,"Milford, Gene",,3,Carl Fischer,1,
Lake Washington Suite,"Zdechlik, John",,3,Kjos,1,
Lakeland Portrait,"La Plante, Pierre",,4,Kjos,1,
Lament,"Koh, Chang Su",,4,,1,
Lament (for a Fallen Friend),"Spittal, Robert",,4,Boosey & Hawkes,2,
Lament and Proclamation,"Tucker, Jordan",,5,Self,1,
Lament and Tribal Dances,"Sweeney, Michael",,3,Hal Leonard/MusicWorks,1,
Land of Enchantment,"Loest, Timothy",,1,FJH,1,
Land of Tomorrow,"Curnow, James",,4,Curnow,1,
Landmarks,"Brien, Colin",,3,Kjos,1,
Laniakea,"Wilds, Jack",,2,FJH,1,
"Larghetto (from ""Concerto Grosso"")","Handel, G.F.",Harris,2,Bourne,1,
Larghetto and Allegro,"Handel, G.F.","Robinson, Wayne",4,Doran,1,
Largo,"Yagisawa, Satoshi",,3,Hal Leonard,2,
Largo (from “New World Symphony”),"Dvorak, Antonin","Vinson, Johnnie",2,,1,
Largo (from “New World Symphony”),"Dvorak, Antonin","Williams, Mark",1,Alfred,1,
Largo and Bourree,"Handel, G.F.",Lynd,2,Barnhouse,2,
Largo and Menuetto,"Handel, G.F.","Gordon, Philip",2,Bourne,1,
"Lark in the Clear Air, The",Taylor,,4,,1,
Las Vegas Holiday,"Nixon, Roger",,6,LudwigMasters,1,
Last Full Measure,"Sweeney, Michael",,3,Hal Leonard,1,
"Last Pavan, The",Granados,"Gordon, Philip",2,"UMMP/Fox, Plymouth",1,OOP
Last Ride of the Pony Express,"Shaffer, David",,3,Barnhouse,1,
"Last Rose of Summer, The","Anderson, Leroy","Wagner, Douglas",3,Alfred,1,
"Last Rose of Summer, The","Hilliard, Quincy C.",,2,Great Works,1,
"Last Rose of Summer, The","Williams, Mark",,2,Alfred,2,
"Last Spring, The","Grieg, Edvard","Curnow, James",4,Carl Fischer/Curnow,3,
"Last Stagecoach Heist, The","Weller, Travis",,2,FJH,1,
Latin Folk Song Trilogy,"Himes, William", ,3,Kjos,3,
Lauda,"Miles, Timothy",,2,,1,
Lauda Anima,"Bulla, Stephen",,3,Curnow,1,
"Laude: Chorale, Variations & Metamorphoses","Hanson, Howard",,5,Carl Fischer,3,OOP
Laudi Alla Vergine Maria,"Verdi, Giuseppe","Buehlman, Barbara",3,Barnhouse,3,
Lauds -Praise igh Day,"Nelson, Ron",,5,Ludwig,1,
Le Corsaire Overture,"Berlioz, Hector","Beeler, Walter",6,Carl Fischer/Shawnee,3,POD
Le Journal Du Printemps,"Fischer, Ferdinand","Wilson, Keith",5,Hal Leonard/Associated,2,OOP
Le Roi D'ys Overture,"Lalo, Edouard","Cailliet, Lucien",6,Southern/Chappell,3,
"Leaves are Falling, The","Benson, Warren", ,6,Hal Leonard/Marks,6,
Legacy,"Longfield, Robert",,3,Ludwig,1,
Legacy Fanfare,"Nowlin, Ryan",,3,Kjos,1,
Legacy of Honor,"Bocook, Jay",,4,Hal Leonard,1,
Legacy Overture,"Standridge, Randall",,3,Grand Mesa,1,
Legend,"Balmages, Brian",,1,FJH,2,
Legend,"Creston, Paul",,5,Hal Leonard/Leeds ,3,OOP
Legend,"Kinyon, John",,2,Alfred,1,OOP
Legend,"Sampson, David",,5,Self ,1,
Legend,"Tchaikovsky, P.I. ","Hultgren, Ralph",3,Brolga,1,
Legend (based on a Dvorak Melody),"Erickson, Frank",,2,Alfred/Belwin,1,OOP
"Legend of Alcolbaca, The","Sochinski, James",,5,TRN,1,
Legend of Bafe,"Fannin, John",,4,Arranger's Pub.,1,
Legend of Knife River,"Bulla, Stephen", ,2,Curnow,4,
"Legend of Sleepy Hollow, The","Boysen, Jr., Andrew",,3,Kjos,1,
Legend of the Alhambra,"Williams, Mark",,1,Alfred,1,
Legend of the Eagle,"McGinty, Anne",,2,Hansen,1,
Legend of the Sword,"Shaffer, David",,4,Barnhouse,1,
Legend of the Yankee Clippers,"Swearingen, James",,2,FJH,1,
Legendary Air,"Erickson, Frank",,2,Bourne,1,
Legends,"Feldstein, Sandy & Larry Clark",,1,Amidan ,1,
Legends and Heroes,"La Plante, Pierre",,3,Daehn,2,
Legends of the Galaxy,"Wilson, C.",,4,Barnhouse,1,
Legends of the Northern Wind,"Young, Charles Rochester",,3,Southern,1,
Legion of Merit,"Curnow, James",,1,Curnow,1,
Leonore No. 3 - Overture,"Beethoven, Ludwig van","Godfrey, Dan",6,Chappell,1,OOP
Leonore No. 3 - Overture,"Beethoven, Ludwig van","Hindsley, Mark",6,Hindsley Transcriptions,1,
Les Biches,"Poulenc, Francis","Cailliet, Lucien",6,Presser,1,POD
Les Couleurs Fauves (Vivid Colors),"Husa, Karel",,6,G. Schirmer,3,
Les Papillons Suite (any 5 mvts.),Lankester,"de Meij, Johann",5,Molenaar,1,
Les Preludes,"Listz, Franz","Hindsley, Mark",6,Hindsley Transcriptions,4,
Let all Mortal Flesh Keep Silence,"McGinty, Anne", ,2,Kjos,1,
Let Evening Come,"Grantham, Donald",,4,Piquant,1,
Let Freedom Ring,"Nowlin, Ryan",,4,Kjos,1,
Let My Love Be Heard,"Runestad, Jake",,3,Self,1,
Let Nothing Ever Grieve Thee,"Brahms, Johannes","Kopetz, Barry",4,Alfred,1,
Let the Amen Sound,"Cross, Travis J.",,5,Boosey & Hawkes,2,
Let Thy Good Spirit,Burger,,1,GPG Music,1,
Let Us Break Bread Together,"Root, Thomas",,3,Kjos,1,
Let Your Spirit Sing,"Giroux, Julie",,2,Musica Propria,3,
Lethbridge Overture,"Ployhar, James",,3,Alfred/Belwin,1,OOP
Letter from Home,"Copland, Aaron",Belski,5,Boosey & Hawkes,1,
Letter from Sado,"Blackshaw, Jodie",,2,Hal Leonard,1,
"Letters from Liadov, Op. 58  ","Liadov, Anatol Konstantinovich ",Mahaffey,3,Grand Mesa ,1,
Lexicon,"Huckeby, Ed",,3,Barnhouse,1,
