Title,Composer,Arranger,Grade
Debonnaire,"Leidzen, E.",,4.0
Beau Galant,"Telemann, G.",,1.0
La Procession Du Roccio,Turina,Reed,5.0
As If Morning Might Arrive,"Stamp, J.",,3.0
Passacaglia and Fugue,Latham,,4.0
Historie Du Solat,"Stravinski, I.",,6.0
Oxford Scherzo,Kelly,,6.0
"Overture Miniature and March from ""Nutcracker Suite""","Tchaikovsky, P.",,6.0
"Jota from The Ballet ""Suite Espagnole""","Surinach, C.",,6.0
"Set of Spirituals, A","Kinyon, J.",,1.0
Images and Phases from a New World,"Spears, J.",,6.0
Il Guarany,"Gomex, A.",,6.0
"Pyramids, The",Tatgenhorst,,2.0
And the Mountains Raising Nowhere,"Schwanter, J.",,6.0
Symphony #2-Finale,Ives,Elkus,5.0
"Classical Overture, A",Grundman,,2.0
Interlochen Variations,Jones,,3.0
Agean Festival Overture,"Makris, A.",,6.0
First Fugue,"Taylor, J.",,2.0
Breckinridge Overture,"Clark, A.",,2.0
El Nino,"Curnow, J.",,1.0
Little Train of the Brazillian Countrymen,"Villa-Lobos, H.",,6.0
Baroque Motet,"Hastings, R.",,1.0
Dana Point Overture,"O'Reilly, J.",,1.0
Hill Portrait,"Balent, A.",,1.0
Sarabanda and Gavotta,Corelli,,2.0
Le Corsair Overture,"Berlioz, H.",,6.0
Prelude and Dance,"Borgo, D.",,1.0
Marzoni Requiem Excerpts,"Verdi, G.",,6.0
Thunder Mountain (Overture),Spears,,1.0
"Nutcracker Suite-Part 2 (Play only No. 3) ""Dance Arabe"", No. 5 ""Trepak"")","Tchaikovsky, P.",,6.0
Scenario,"Spears, J.",,3.0
"Corsair, The (Overture)","Berlioz, H.",,6.0
Coronation from Boris Bodounov,"Moussorgsky, M.",,6.0
Concertion for Band,"Velke, F.",,6.0
Unfinished Symphony (1st Mvt.),"Schubert, F.",,5.0
Daedalic Symphony,"Weiner, L.",,5.0
Celebration XXV,"Whear, P.",,5.0
Dances Sacred and Profane,Hill,,5.0
Fanfare Prelude: O How Shall I Receive Thee,"Hanson, J.",,5.0
Dramatic Episode,"Spears, J.",,5.0
Rhapsody for Winds and Percussion,"Mitchell, R.",,5.0
Four English Dances,Arnold,Johnstone,5.0
Overture Capriccioso,"Erickson, F.",,5.0
Festive Ode,"Mitchell, R.",,5.0
Silver Sceptor,"Kinyon, J.",,1.0
Siegfried's Funeral Music from Die Gotterdammerung,"Wagner, R.",,5.0
Alarums,"Mailman, M.",,5.0
Antiphony for Winds,"Ward, R.",,5.0
Chorale for Band,"Washburn, R.",,2.0
Corinthian Overture,"Del Borgo, E.",,2.0
Uncle Walt's Waltz,"Gillis, D.",,5.0
Euryanthe,Weber,Safranek,6.0
Vantage Overture,Conley,,1.0
Third Movement from Symphony No. 2 (Romantic),"Hanson, H.",,5.0
Feste Romaine,Respighi,Schaefer,6.0
A Symphonic Portrait For Concert Band,Rodgers,,4.0
Chant and Jubilee,"Borgo, D.",,2.0
Statements,"Del Borgo, E.",,5.0
Symphony No. 1,"Buckvich, D.",,5.0
"Symphony ""X"" (Big ""D"") (Any 2 Mvts.)","Gillis, D.",,5.0
The Feast of Trumpets,"Mcbeth, W.",,5.0
Conflict,"Clark, L.",,1.0
Second Symphony-Intrada (1st Mvt.),"Erickson, F.",,5.0
Scherzo a La Russe,"Stravinsky, I.",,5.0
Stonehenge Overture,Curnow,,2.0
Porgy and Bess Selection,"Gershwin, G.",,5.0
Popular Song (from Façade),"Walton, W.",,5.0
"Mask of the Night, The","Benson, W.",,5.0
Lewisburg,"Mitchell, R.",,3.0
"Silver Anchor, The","Osbourne, C.",,5.0
Music For A Ceremony,"Morrissey, J.",,3.0
Canada,"Whear, P.",,4.0
Canto Di Sera,"Del Borgo, E.",,4.0
Preamble,"Jager, R.",,4.0
"Hunt With Belle Meade, The","Smith, R.",,2.0
Cameo Suite,"Root, T.",,4.0
Fanfare Variations,Barker,,3.0
O Mensch Bewein Dein Sunde Grosse,Bach,,4.0
Royal Procession,"Borgo, D.",,1.0
Glory and Triumph,Berlioz,,3.0
Festive Winds,"Erickson, F.",,3.0
To the Unknowns,"Mcbeth, W.",,3.0
